001,5,1,648,16,10,2,0,3,5,1,1,0,1,1,1,0,12,0,0,0,0,1,0,0,1,0,0,16,12                                                                        
002,3,1,29,3,6,6,0,0,3,1,0,0,1,0,1,0,11,0,0,0,0,1,0,0,0,1,0,11,11                                                                                 
003,4,1,2388,20,8,2,2,0,3,1,1,0,0,1,0,0,12,0,0,0,0,1,1,0,0,0,0,12,15                                                                        
004,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,13,0,0,0,0,0,0,1,1,1,0,13,11                                                                                
005,3,1,0,0,6,0,3,0,3,1,0,1,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,13,11                                                                                
006,4,2,1247,7,10,5,0,2,3,1,0,0,1,0,1,0,11,0,0,0,0,1,0,0,1,0,0,11,16                                                                            
007,1,4,0,0,1,1,0,1,3,0,0,1,0,1,0,1,15,0,0,0,0,0,0,0,0,1,0,15,13                                                                             
008,1,4,0,0,1,1,0,1,5,1,0,1,1,1,1,0,11,0,0,0,0,1,0,1,0,0,0,16,11                                                                                
009,2,3,2777,28,2,0,0,3,2,0,0,1,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,13,13                                                                           
010,2,3,2777,28,2,0,0,3,3,0,0,1,1,1,0,0,13,0,0,0,0,1,0,0,0,0,0,13,13
011,6,2,7690,15,1,1,0,0,3,1,0,1,0,1,0,0,13,0,1,1,1,6,0,0,0,0,0,15,13
012,3,1,84,8,4,0,0,3,2,1,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,11,11
013,1,4,19,0,1,1,0,3,3,0,0,1,1,0,1,0,13,0,0,0,0,0,0,1,0,0,0,13,13
014,5,1,1,0,8,2,0,0,2,1,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,15,11
015,5,1,143,90,6,2,0,0,2,1,1,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,12,12
016,1,4,0,0,1,1,3,0,3,0,0,1,1,0,1,0,13,0,0,0,0,0,0,0,1,0,0,13,13
017,3,1,31,10,6,0,3,0,3,1,0,0,1,0,1,0,14,0,0,0,0,0,0,0,0,0,0,16,11
018,1,4,23,0,1,1,0,2,8,1,1,1,1,1,1,1,13,1,0,0,0,0,0,0,1,1,1,11,11
019,4,1,113,3,3,5,0,0,2,1,1,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,12,12
020,1,4,0,0,1,1,0,0,6,1,1,1,1,1,1,0,11,1,1,1,1,0,0,0,1,1,0,15,11
021,5,1,47,1,10,3,0,0,4,1,0,0,0,1,1,1,17,4,0,0,0,0,0,0,0,1,0,17,11
022,2,3,1099,6,2,0,0,3,3,1,1,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11,12
023,4,2,600,1,10,5,0,5,3,0,0,1,0,1,1,0,13,0,0,0,0,0,0,0,0,0,0,13,13
024,2,3,8512,119,6,0,0,0,4,0,1,1,1,1,0,0,12,1,0,0,0,22,0,0,0,0,1,12,12
025,1,4,0,0,1,1,0,0,6,1,1,1,1,1,0,1,13,0,1,1,1,0,0,0,1,1,1,15,13
026,5,1,6,0,10,2,0,0,4,1,0,0,1,1,1,0,14,0,0,0,0,0,0,1,1,1,1,15,14
